Person,Samples,Accuracy,Recall,Precision,F1 Score,True_Label
S21,100,1.0,1.0,1.0,1.0,0
S16,100,1.0,1.0,1.0,1.0,0
S19,100,1.0,1.0,1.0,1.0,0
S11,100,1.0,1.0,1.0,1.0,0
S13,100,1.0,1.0,1.0,1.0,0
S14,100,0.99,1.0,0.9803921568627451,0.9900990099009901,0
S09,100,0.97,1.0,0.9433962264150944,0.970873786407767,0
S06,100,0.97,0.94,1.0,0.9690721649484536,0
S07,100,0.97,1.0,0.9433962264150944,0.970873786407767,0
S12,100,0.97,1.0,0.9433962264150944,0.970873786407767,0
S05,100,0.96,0.92,1.0,0.9583333333333334,0
S04,100,0.96,1.0,0.9259259259259259,0.9615384615384616,0
S10,100,0.95,0.94,0.9591836734693877,0.9494949494949495,0
S02,100,0.94,1.0,0.8928571428571429,0.9433962264150944,0
S17,100,0.91,1.0,0.847457627118644,0.9174311926605505,0
S03,100,0.89,1.0,0.819672131147541,0.9009009009009009,0
S20,100,0.84,0.68,1.0,0.8095238095238095,0
S18,100,0.63,0.4,0.7407407407407407,0.5194805194805194,0
S15,100,0.61,0.98,0.5632183908045977,0.7153284671532847,0
S01,100,0.58,0.16,1.0,0.27586206896551724,0
S08,100,0.49,0.96,0.4948453608247423,0.6530612244897959,0
